nama_sekolah,npsn,bp,status,pd,guru,kecamatan,wilayah
SMAS SANTO YOSEPH JAKARTA,20103196,SMA,Swasta,351,22,Cakung,Kota Jakarta Timur
SMAS JAKARTA ISLAMIC SCHOOL,20112433,SMA,Swasta,332,14,Makasar,Kota Jakarta Timur
SMAS BPS&amp;K I,20103240,SMA,Swasta,327,13,Duren Sawit,Kota Jakarta Timur
SMAS MUHAMMADIYAH 1 JAKARTA,20100195,SMA,Swasta,316,24,Senen,Kota Jakarta Pusat
SMAS BUDHAYA 2 ST AGUSTINUS,20103216,SMA,Swasta,312,17,Duren Sawit,Kota Jakarta Timur
SMA ISLAM AL-AZHAR KELAPA GADING,20100600,SMA,Swasta,308,26,Kelapa Gading,Kota Jakarta Utara
SMAS DIPONEGORO 2 JAKARTA,20103204,SMA,Swasta,280,22,Cakung,Kota Jakarta Timur
SMA GANDHI MEMORIAL INTERCONTINENTAL SCHOOL,69758962,SPK SMA,Swasta,280,9,Kemayoran,Kota Jakarta Pusat
SMAS PGRI 3 JAKARTA,20107326,SMA,Swasta,274,20,Cilandak,Kota Jakarta Selatan
SMAS DHARMA KARYA JAKARTA,20107295,SMA,Swasta,266,22,Kebayoran Baru,Kota Jakarta Selatan
SMAS NUSANTARA JAKARTA,20107388,SMA,Swasta,222,5,Cilincing,Kota Jakarta Utara
SMAS CAWANG 1 BARU JAKARTA,20103431,SMA,Swasta,217,15,Jatinegara,Kota Jakarta Timur
SMAS TUNAS MUDA,20104439,SPK SMA,Swasta,199,9,Kembangan,Kota Jakarta Barat
SMAIT Buahati Islamic School,69967066,SMA,Swasta,179,18,Cipayung,Kota Jakarta Timur
SMAS PERG CIKINI JAKARTA,20107325,SMA,Swasta,171,20,Pancoran,Kota Jakarta Selatan
SMAS FATAHILLAH JAKARTA,20107297,SMA,Swasta,146,17,Pancoran,Kota Jakarta Selatan
SMA Raffles Christian School Pondok Indah,69904250,SMA,Swasta,141,5,Kebayoran Lama,Kota Jakarta Selatan
SMAS DARUL MAARIF JAKARTA,20107291,SMA,Swasta,125,11,Cilandak,Kota Jakarta Selatan
SMAS YASPI JAKARTA,20100800,SMA,Swasta,124,7,Cilincing,Kota Jakarta Utara
SMAS MUHAMMADIYAH 14 JAKARTA,20100184,SMA,Swasta,105,11,Tanah Abang,Kota Jakarta Pusat
SMA BINA BANGSA SCHOOL,20104408,SPK SMA,Swasta,105,16,Kebon Jeruk,Kota Jakarta Barat
SMAS MUTIARA 1 JAKARTA,20100606,SMA,Swasta,100,7,Tanjung Priok,Kota Jakarta Utara
SMAS DHARMA PUTRA JAKARTA,20107373,SMA,Swasta,98,6,Tanjung Priok,Kota Jakarta Utara
SMA NARADA,69754377,SPK SMA,Swasta,98,10,Cengkareng,Kota Jakarta Barat
SMAS SANTO BELLARMINUS JAKARTA,20108507,SMA,Swasta,77,17,Menteng,Kota Jakarta Pusat
SMAS CAHAYA KUDUS JAKARTA,20107371,SMA,Swasta,76,2,Penjaringan,Kota Jakarta Utara
SMA AUSTRALIAN INDEPENDENT SCHOOL INDONESIA JAKARTA,69889089,SPK SMA,Swasta,60,10,Pasar Minggu,Kota Jakarta Selatan
SMAS DIAN PERSADA JAKARTA,20103206,SMA,Swasta,58,9,Pulo Gadung,Kota Jakarta Timur
SMAS PANGUDI RAHAYU,20103176,SMA,Swasta,54,7,Pasar Rebo,Kota Jakarta Timur
